"Analysis conducted in collaboration with Microsoft Healthcare NeXT researchers: William Weeks, Nancy Morden, Grace Huynh, James Weinstein, Jonathan Larson, Bryan Tower and Care Journey analysts: Stacey Cao and Zach Bredl",,,,,
Hospital Servicing Area,HSA Name,HRR ID,HRR Name,Total Census pop,% Pop > 65 With 2+
5040,CA- CHULA VISTA,80,CA- SAN DIEGO,407738,0.041288856
5041,CA- CLEARLAKE,62,CA- NAPA,27971,0.068490734
5043,CA- COALINGA,43,CA- FRESNO,18163,0.033271345
5044,CA- COLUSA,77,CA- SACRAMENTO,15974,0.047867538
5045,CA- CONCORD,33,CA- CONTRA COSTA CO.,129945,0.048223937
5046,CA- CORCORAN,43,CA- FRESNO,24384,0.030950637
5047,CA- CORONA,23,CA- ORANGE CO.,280504,0.037828376
5048,CA- CORONADO,80,CA- SAN DIEGO,24053,0.044639997
5050,CA- COVINA,56,CA- LOS ANGELES,116458,0.058293623
5051,CA- CRESCENT CITY,343,OR- MEDFORD,41351,0.060719016
5052,CA- CULVER CITY,56,CA- LOS ANGELES,47522,0.053636004
5053,CA- DALY CITY,85,CA- SAN MATEO CO.,159789,0.053130529
5054,CA- DAVIS,77,CA- SACRAMENTO,109687,0.026313246
5055,CA- DEER PARK,62,CA- NAPA,24327,0.051558219
5056,CA- DELANO,25,CA- BAKERSFIELD,86146,0.036050914
5057,CA- DINUBA,43,CA- FRESNO,31871,0.031813393
5059,CA- DOWNEY,56,CA- LOS ANGELES,339253,0.042148584
5060,CA- DUARTE,56,CA- LOS ANGELES,27456,0.077446333
5062,CA- EL CENTRO,80,CA- SAN DIEGO,131302,0.048394215
5063,CA- ENCINITAS,80,CA- SAN DIEGO,132137,0.041583902
5064,CA- ENCINO,56,CA- LOS ANGELES,14794,0.091151314
5065,CA- ESCONDIDO,80,CA- SAN DIEGO,206870,0.037696498
5066,CA- EUREKA,73,CA- REDDING,59250,0.043527797
5068,CA- FAIRFIELD,33,CA- CONTRA COSTA CO.,146071,0.039941045
5069,CA- FALL RIVER MILLS,73,CA- REDDING,8647,0.058125061
5070,CA- FALLBROOK,80,CA- SAN DIEGO,48015,0.048791126
5071,CA- FOLSOM,77,CA- SACRAMENTO,86983,0.03243127
5072,CA- FONTANA,79,CA- SAN BERNARDINO,223422,0.02771287
5073,CA- FORT BRAGG,62,CA- NAPA,19669,0.048523094
5074,CA- FORTUNA,73,CA- REDDING,26670,0.050950657
5075,CA- FOUNTAIN VALLEY,23,CA- ORANGE CO.,248908,0.059734801
5077,CA- FREMONT,65,CA- ALAMEDA CO.,350928,0.047828263
5078,CA- FRESNO,43,CA- FRESNO,918936,0.047999978
5079,CA- FULLERTON,23,CA- ORANGE CO.,375182,0.046466912
5080,CA- GARBERVILLE,62,CA- NAPA,7983,0.033171126
5081,CA- GARDEN GROVE,23,CA- ORANGE CO.,125176,0.057311443
5082,CA- GARDENA,56,CA- LOS ANGELES,47969,0.066797299
5083,CA- GILROY,82,CA- SAN JOSE,69533,0.034998898
5084,CA- GLENDALE,56,CA- LOS ANGELES,457156,0.073220318
5085,CA- GLENDORA,56,CA- LOS ANGELES,114416,0.050369385
5086,CA- GRANADA HILLS,56,CA- LOS ANGELES,53453,0.072040339
5087,CA- GRASS VALLEY,77,CA- SACRAMENTO,75632,0.065217511
5088,CA- GREENBRAE,81,CA- SAN FRANCISCO,196777,0.043974168
5089,CA- GREENVILLE,31,CA- CHICO,2257,0.069506286
5090,CA- GRIDLEY,77,CA- SACRAMENTO,14395,0.051701042
5091,CA- HANFORD,43,CA- FRESNO,142968,0.038435044
5092,CA- HARBOR CITY,56,CA- LOS ANGELES,202156,0.057171178
5094,CA- HAWTHORNE,56,CA- LOS ANGELES,97371,0.038266361
5095,CA- HAYWARD,65,CA- ALAMEDA CO.,155244,0.048561633
5096,CA- HEALDSBURG,89,CA- SANTA ROSA,30126,0.050453967
5097,CA- HEMET,79,CA- SAN BERNARDINO,220472,0.072770122
5098,CA- HOLLISTER,82,CA- SAN JOSE,57208,0.038441128
5100,CA- HUNTINGTON BEACH,23,CA- ORANGE CO.,144794,0.054629313
5102,CA- INDIO,80,CA- SAN DIEGO,140138,0.038528088
5103,CA- INGLEWOOD,56,CA- LOS ANGELES,241419,0.052209674
5104,CA- JACKSON,77,CA- SACRAMENTO,39164,0.074297815
5105,CA- JOSHUA TREE,69,CA- PALM SPR/RANCHO MIR.,66523,0.051579649
5106,CA- KING CITY,78,CA- SALINAS,19296,0.029530256
5108,CA- LA JOLLA,80,CA- SAN DIEGO,183814,0.038379797
5109,CA- LA MESA,80,CA- SAN DIEGO,474953,0.049246431
5112,CA- LAGUNA HILLS,23,CA- ORANGE CO.,172495,0.064324661
5114,CA- LAKE ISABELLA,25,CA- BAKERSFIELD,11346,0.114359712
5115,CA- LAKEPORT,62,CA- NAPA,33496,0.064306044
5116,CA- LAKEWOOD,56,CA- LOS ANGELES,31471,0.050164065
5117,CA- LANCASTER,56,CA- LOS ANGELES,434084,0.043014057
5118,CA- LINDSAY,25,CA- BAKERSFIELD,25532,0.049230646
5119,CA- LIVERMORE,65,CA- ALAMEDA CO.,94931,0.039605114
5120,CA- LODI,77,CA- SACRAMENTO,135792,0.056271304
5121,CA- LOMA LINDA,79,CA- SAN BERNARDINO,92469,0.044604653
5122,CA- LOMPOC,86,CA- SANTA BARBARA,61657,0.038990593
5123,CA- LONE PINE,279,NV- LAS VEGAS,2078,0.064675829
5124,CA- LONG BEACH,56,CA- LOS ANGELES,555716,0.042340532
5125,CA- LOS ALAMITOS,23,CA- ORANGE CO.,96010,0.078136937
5126,CA- LOS ANGELES,56,CA- LOS ANGELES,2048197,0.049506806
5127,CA- LOS BANOS,58,CA- MODESTO,40550,0.037385967
5130,CA- LYNWOOD,56,CA- LOS ANGELES,385706,0.037245846
5131,CA- MADERA,43,CA- FRESNO,103630,0.044177652
5132,CA- MAMMOTH LAKES,280,NV- RENO,889,0.021831948
5133,CA- MANTECA,91,CA- STOCKTON,104835,0.052987538
5136,CA- MARTINEZ,33,CA- CONTRA COSTA CO.,49942,0.04418402
5137,CA- MARYSVILLE,77,CA- SACRAMENTO,74971,0.043846417
5138,CA- MERCED,58,CA- MODESTO,229051,0.046119976
5139,CA- MISSION HILLS,56,CA- LOS ANGELES,150970,0.047409733
5140,CA- MISSION VIEJO,23,CA- ORANGE CO.,240840,0.042686596
5141,CA- MODESTO,58,CA- MODESTO,459197,0.047657498
5144,CA- MONTEBELLO,56,CA- LOS ANGELES,140166,0.069115133
5145,CA- MONTEREY,78,CA- SALINAS,135252,0.051405069
5146,CA- MONTEREY PARK,56,CA- LOS ANGELES,61056,0.115411653
5148,CA- MOUNT SHASTA,73,CA- REDDING,17126,0.053657535
5149,CA- MOUNTAIN VIEW,82,CA- SAN JOSE,340523,0.031953757
5150,CA- NAPA,62,CA- NAPA,99823,0.05642599
5151,CA- NATIONAL CITY,80,CA- SAN DIEGO,62386,0.055913097
5152,CA- NEEDLES,279,NV- LAS VEGAS,6720,0.079954424
5155,CA- NEWPORT BEACH,23,CA- ORANGE CO.,325918,0.044671149
5157,CA- NORTHRIDGE,56,CA- LOS ANGELES,184138,0.069804069
5158,CA- NORWALK,56,CA- LOS ANGELES,106404,0.054469125
5159,CA- NOVATO,81,CA- SAN FRANCISCO,62660,0.047479852
5160,CA- OAKDALE,58,CA- MODESTO,34140,0.048015391
5161,CA- OAKLAND,65,CA- ALAMEDA CO.,452870,0.039565301
5162,CA- OCEANSIDE,80,CA- SAN DIEGO,467351,0.038540201
5163,CA- OJAI,96,CA- VENTURA,20272,0.059127783
5165,CA- ORANGE,23,CA- ORANGE CO.,186841,0.043656467
5166,CA- OROVILLE,31,CA- CHICO,55370,0.068799963
5167,CA- OXNARD,96,CA- VENTURA,244642,0.038965973
5168,CA- PALM SPRINGS,69,CA- PALM SPR/RANCHO MIR.,96844,0.079693584
5171,CA- PANORAMA CITY,56,CA- LOS ANGELES,229399,0.051047916
5172,CA- PARADISE,31,CA- CHICO,41113,0.083617753
5173,CA- PARAMOUNT,56,CA- LOS ANGELES,55020,0.034756532
5174,CA- PASADENA,56,CA- LOS ANGELES,235154,0.059243133
5177,CA- PETALUMA,89,CA- SANTA ROSA,78804,0.050824043
5179,CA- PINOLE,81,CA- SAN FRANCISCO,83536,0.052417874
5180,CA- PITTSBURG,33,CA- CONTRA COSTA CO.,93549,0.04165926
5182,CA- PLACERVILLE,77,CA- SACRAMENTO,101787,0.059408103
5183,CA- POMONA,56,CA- LOS ANGELES,314960,0.051885327
5185,CA- PORTERVILLE,25,CA- BAKERSFIELD,88860,0.052309151
5186,CA- PORTOLA,280,NV- RENO,5383,0.065201897
5187,CA- POWAY,80,CA- SAN DIEGO,186461,0.041530664
5188,CA- QUINCY,280,NV- RENO,6659,0.039473249
5189,CA- RANCHO MIRAGE,69,CA- PALM SPR/RANCHO MIR.,218762,0.09244167
5190,CA- RED BLUFF,31,CA- CHICO,32694,0.056618457
5191,CA- REDDING,73,CA- REDDING,186399,0.056789222
5192,CA- REDLANDS,79,CA- SAN BERNARDINO,149334,0.050364562
5194,CA- REDWOOD CITY,85,CA- SAN MATEO CO.,175037,0.033915057
5197,CA- RIDGECREST,79,CA- SAN BERNARDINO,38169,0.062763245
5198,CA- RIVERSIDE,79,CA- SAN BERNARDINO,849365,0.034819314
5199,CA- ROSEVILLE,77,CA- SACRAMENTO,291192,0.053126034
5200,CA- SACRAMENTO,77,CA- SACRAMENTO,1153542,0.043851017
5201,CA- SALINAS,78,CA- SALINAS,257082,0.030707483
5202,CA- SAN ANDREAS,91,CA- STOCKTON,38932,0.069741626
5203,CA- SAN BERNARDINO,79,CA- SAN BERNARDINO,436314,0.035002176
5204,CA- SAN CLEMENTE,23,CA- ORANGE CO.,83481,0.039969655
5205,CA- SAN DIEGO,80,CA- SAN DIEGO,1072564,0.034388501
5206,CA- SAN DIMAS,56,CA- LOS ANGELES,34555,0.076411219
5208,CA- SAN FRANCISCO,81,CA- SAN FRANCISCO,864239,0.043013725
5209,CA- SAN GABRIEL,56,CA- LOS ANGELES,212524,0.085702308
5210,CA- SAN JOSE,82,CA- SAN JOSE,1373331,0.041998309
5211,CA- SAN LEANDRO,65,CA- ALAMEDA CO.,111171,0.051001865
5212,CA- SAN LUIS OBISPO,83,CA- SAN LUIS OBISPO,105469,0.043611377
5213,CA- SAN MATEO,85,CA- SAN MATEO CO.,161795,0.039094666
5214,CA- SAN PABLO,81,CA- SAN FRANCISCO,149350,0.036369745
5215,CA- SAN PEDRO,56,CA- LOS ANGELES,84197,0.055346487
5218,CA- SANTA ANA,23,CA- ORANGE CO.,347464,0.034517525
